last_active,posts_count,activity_level,user_id,full_name,gender,age,email,country,job_title,favourite_color
2021-09-19,780,High,1,Emmalyn Dyke,Female,92,edyke0@etsy.com,Mexico,Budget/Accounting Analyst I,red
2020-12-09,677,Medium,2,Matthus Alderson,Male,39,malderson1@wordpress.org,Philippines,Developer I,green
2021-10-08,943,Medium,3,Elane Moorerud,Female,29,emoorerud2@fc2.com,Portugal,Assistant Media Planner,blue
2021-04-25,184,Medium,4,Den Inott,Male,97,dinott3@slashdot.org,Greece,Chemical Engineer,purple
2020-07-23,596,Low,5,Frank Seawright,Female,22,fseawright4@ycombinator.com,Russia,Actuary,green
2021-11-13,377,High,6,Sheppard Clandillon,Male,62,sclandillon5@gnu.org,South Africa,Director of Sales,red
2021-01-20,889,Medium,7,Tandie Castilljo,Female,64,tcastilljo6@usnews.com,Brazil,Environmental Tech,yellow
2020-10-12,320,Medium,8,Gayler Saker,Male,39,gsaker7@acquirethisname.com,Greece,Analog Circuit Design manager,green
2021-08-24,714,Medium,9,Vikky Matovic,Female,80,vmatovic8@trellian.com,Russia,Social Worker,red
2021-09-04,649,Low,10,Roderich Gaskall,Male,91,rgaskall9@nyu.edu,Poland,Graphic Designer,blue
2021-04-27,427,Medium,11,Ida Scorton,Female,90,iscortona@gravatar.com,Mayotte,Sales Associate,yellow
2020-07-08,719,Medium,12,Lilian Silson,Female,98,lsilsonb@cnet.com,Indonesia,Programmer Analyst IV,red
2021-03-20,304,Medium,13,Ryun Spinney,Male,72,rspinneyc@washingtonpost.com,Philippines,Teacher,blue
2020-08-06,307,Low,14,Jobey Larkkem,Genderfluid,39,jlarkkemd@biblegateway.com,Russia,Automation Specialist III,blue
2020-05-21,182,High,15,Moria Bader,Female,56,mbadere@boston.com,China,Statistician IV,red
2021-01-12,784,High,16,Broderic Joderli,Male,35,bjoderlif@ibm.com,Tunisia,Graphic Designer,purple
2020-05-23,696,Low,17,Birch Keilty,Male,65,bkeiltyg@twitpic.com,Brazil,Software Consultant,green
2020-02-13,78,Low,18,Chucho Digan,Male,38,cdiganh@trellian.com,France,VP Product Management,purple
2021-08-18,182,Medium,19,Yettie Waylen,Female,30,ywayleni@google.com.hk,Georgia,Programmer III,blue
2021-02-26,36,Low,20,Regine Vennart,Female,68,rvennartj@latimes.com,China,Assistant Manager,red
2021-05-13,529,Low,21,Rory Pavlata,Male,25,rpavlatak@sohu.com,China,Developer I,blue
2020-07-12,780,High,22,Julietta Duffree,Genderfluid,79,jduffreel@oracle.com,China,Associate Professor,blue
